date,population,admission,release
2020-11-22,95966.30316146133,1441.1531322536323,885.9334299441424
2020-11-23,96316.52286377082,1228.3482542048516,2192.0814852586877
2020-11-24,95929.52506000915,1724.6308513083336,2138.7701645039706
2020-11-25,95469.91562102735,1675.1377927056324,2065.1929896547026
2020-11-26,94968.4386540524,1563.7160226797928,747.6929896547027
2020-11-27,95250.46168707752,1029.7160226797926,1256.4429896547024
2020-11-28,95959.40138676927,1964.4493560131264,629.4350531467661
2020-11-29,96295.38076900071,968.9144353782053,475.4350531467662
2020-11-30,96445.36015123213,622.9144353782052,2097.5369304934497
2020-12-01,95855.08563275437,1500.676048379305,2034.246400190419
2020-12-02,95471.41717488265,1650.542469345726,1893.8224137039324
2020-12-03,95451.44015845236,1800.109312517171,1926.2978125444145
2020-12-04,95266.95775753475,1733.159388404729,2092.4694339373973
2020-12-05,95270.20227199735,2058.3239611550916,910.9359281739808
2020-12-06,95669.22456423771,1309.958220414351,831.8109281739808
2020-12-07,96118.87185647809,1281.4582204143512,2326.5609281739808
2020-12-08,95477.65248205181,1685.3415537476844,2080.5609281739808
2020-12-09,95140.43310762547,1743.3415537476844,2023.0609281739808
2020-12-10,94867.21373319918,1750.3415537476844,2115.5609281739808
2020-12-11,94622.99435877289,1871.3415537476844,1945.6720392850918
2020-12-12,94426.77498434662,1750.119331525462,932.1994202374729
2020-12-13,94860.75203849173,1366.976474382605,852.1244202374728
2020-12-14,95155.85409263687,1147.226474382605,2178.249420237473
2020-12-15,94587.33114678202,1613.7264743826051,2111.749420237473
2020-12-16,94179.80820092713,1705.7264743826051,2840.162463715734
2020-12-17,92920.36217814921,1547.5527388504026,2242.1395521587665
2020-12-18,92442.36254494659,1762.1658929821326,2161.061088955303
2020-12-19,92175.59911304267,1895.2351570513968,900.0319222886365
2020-12-20,92737.13568113877,1461.5684903847302,883.1430333997475
2020-12-21,93239.67224923486,1384.9296014958413,2345.600908857623
2020-12-22,92522.94645469358,1641.125114316354,2034.8711517726028
2020-12-23,92078.20041723733,1590.1251143163545,1961.0287275301785
2020-12-24,91622.68771311444,1505.516023407263,1306.3287275301786
2020-12-25,91419.77500899152,1106.1160234072631,646.3065053079563
2020-12-26,91722.8623048686,949.393801185041,756.3065053079562
2020-12-27,92121.9496007457,1155.393801185041,662.8065053079563
2020-12-28,92704.53689662274,1242.4413455946544,1949.4668101822567
2020-12-29,92401.52348727314,1635.839764468996,1029.9832379048614
2020-12-30,92584.07090376434,1287.071830866651,1019.5244143754494
2020-12-31,92842.61832025553,1278.071830866651,1013.5244143754494
2021-01-01,93124.66573674674,1295.571830866651,1023.5244143754494
2021-01-02,93390.71315323794,1289.571830866651,1013.5244143754494
2021-01-03,93897.76056972914,1294.445200431868,325.8743689459686
2021-01-04,94136.80861690686,565.4224161236875,2928.1793140009136
2021-01-05,93519.88505236297,2311.255749457021,1873.965028286628
2021-01-06,93451.56267829526,1804.1674476073554,2093.5407858623857
2021-01-07,93718.70655767109,2360.1846652382096,2375.7518969734965
2021-01-08,93503.85043704693,2160.895776349321,2198.568563640163
2021-01-09,93459.07764975609,2156.4124430159873,977.6852303068299
2021-01-10,94023.39577155616,1542.0033521068963,848.7197130654507
2021-01-11,94516.67941059759,1342.0033521068965,2341.574482626008
2021-01-12,94108.13829079657,1953.011926597786,2243.3863797321173
2021-01-13,93963.63050432892,2098.8785932644523,2167.023385381835
2021-01-14,93945.54503424544,2148.254299479142,2200.1417497606453
2021-01-15,93874.50246845237,2130.594233472541,2203.7446424028512
2021-01-16,93945.95990265935,2274.2020766097958,998.1335312917399
2021-01-17,94574.91733686629,1627.090965498685,950.8251979584064
2021-01-18,95034.54977107322,1410.4576321653515,1029.6585312917398
2021-01-19,95396.18220528016,1391.2909654986847,2579.729959863168
2021-01-20,94963.1896394871,2146.737394070113,2482.5632931965015
2021-01-21,94534.60616460313,2054.4798183125376,2271.722703308861
2021-01-22,94159.65303230566,2150.4875430316397,2093.94067532913
2021-01-23,94203.69990000816,2137.987543031639,946.2806753291301
2021-01-24,94848.82676771069,1592.407543031639,945.6140086624634
2021-01-25,95248.62030207984,1345.4075430316393,2521.489008662463
2021-01-26,94682.53883644904,1955.4075430316393,2119.8223419957967
2021-01-27,94625.29070415154,2062.5742096983063,2358.65567532913
2021-01-28,94286.66757185405,2020.0325430316395,2194.701829175284
2021-01-29,94076.25277288989,1986.1908763649728,2184.3715483450032
2021-01-30,94117.24273583046,2227.2874372115334,955.297474270929
2021-01-31,94729.2326987711,1567.2874372115332,897.297474270929
2021-02-01,95189.7226617117,1357.7874372115332,2699.4028664277917
2021-02-02,94564.0238991621,2074.5791038782,2058.957462446527
2021-02-03,94566.20013661252,2069.264437601853,2201.588200151445
2021-02-04,94410.3763740629,2045.2644376018534,1875.9215334847786
2021-02-05,94415.88594484667,1875.43110426852,2156.5604223736677
2021-02-06,94394.13718229705,2134.811659824076,978.3104223736673
2021-02-07,94942.23841974746,1526.4116598240753,886.3104223736673
2021-02-08,95358.33965719788,1302.4116598240753,2475.60927294838
2021-02-09,94955.30871074024,2072.5783264907423,2263.3013364404437
2021-02-10,94692.18371666357,2000.1763423637578,2246.46800310711
2021-02-11,94466.92538925353,2021.2096756970911,2057.5791142182215
2021-02-12,94313.88928406575,1905.4318979193133,1929.3965745356816
2021-02-13,94267.11508363986,1882.62237410979,868.2170873561945
2021-02-14,94788.3870370601,1389.4890407764562,939.5504206895276
2021-02-15,94937.32565714704,1089.155707443123,1062.2170873561945
2021-02-16,95053.43094390062,1179.3223741097897,1780.8361349752422
2021-02-17,94785.72194493996,1510.6271360145518,1801.133208145974
2021-02-18,94614.24823053209,1636.6594937381287,1830.5208715446668
2021-02-19,94416.21324161446,1625.9858826270179,2286.1875382113335
2021-02-20,94334.01158603013,2203.985882627018,859.6208715446666
2021-02-21,95015.05437489027,1541.5636604047959,928.5208715446664
2021-02-22,95539.09716375038,1447.089113196565,2437.1139483853053
2021-02-23,95340.09631670153,2238.1131013364575,2428.30839282975
2021-02-24,95172.89546965272,2261.982545780902,2564.8702975916544
2021-02-25,95013.151765461,2404.9901878699957,2431.8399320108397
2021-02-26,94937.35718308427,2360.025547653898,2450.666283876795
2021-02-27,94908.71644686135,2422.025547653898,1002.6662838767951
2021-02-28,95611.07571063846,1705.025547653898,967.6662838767951
2021-03-01,96084.43497441556,1441.0255476538975,2828.927721785292
2021-03-02,95237.90449460293,2072.8024707308205,2414.332950543462
2021-03-03,95126.37401479027,2301.0524707308205,2589.4222362577475
2021-03-04,95016.98639212047,2480.0346135879636,2650.6349861966005
2021-03-05,94657.66912303392,2481.8933675625267,2472.725788164241
2021-03-06,94518.32155091705,2333.5448827140417,1100.8924548309071
2021-03-07,95152.97397880019,1735.5448827140417,914.8924548309071
2021-03-08,95799.62640668335,1561.5448827140417,2713.8924548309074
2021-03-09,95294.44550123313,2208.7115493807087,3125.3592915656013
2021-03-10,95134.45847333397,2965.3722636664215,1578.0884582322676
2021-03-11,95173.7214454348,1617.3514303330892,2640.2702764140863
2021-03-12,94954.60259935376,2419.171838496354,2281.5758319696415
2021-03-13,94941.06708660611,2267.830442678768,1195.6533063366637
2021-03-14,95530.76049204219,1780.471711772721,1087.9914881548457
2021-03-15,95852.0969744013,1408.6613038473126,2657.9081548215127
2021-03-16,95212.85012342711,2018.6613038473129,2471.413836639694
2021-03-17,95065.28927723759,2323.852990450184,2577.080503306361
2021-03-18,94631.8534310481,2140.542384389578,2508.1657305790886
2021-03-19,94401.22629697977,2277.53859651079,2305.2098577509505
2021-03-20,94429.12674591393,2333.110306685102,1137.9337383479651
2021-03-21,95010.10182171378,1716.242147481122,937.1102089362005
2021-03-22,95617.07689751359,1546.9088141477887,2699.335253499481
2021-03-23,95182.43833694977,2264.6966929356677,2421.085253499481
2021-03-24,95022.04977638595,2260.6966929356677,2455.9602534994806
2021-03-25,94866.78621582214,2300.6966929356677,2419.583248151887
2021-03-26,94639.14275329756,2191.93978562729,2344.0415814852204
2021-03-27,94661.74929077293,2367.648118960623,1040.5415814852201
2021-03-28,95432.35582824836,1811.1481189606232,1097.0415814852201
2021-03-29,95863.96236572375,1528.648118960623,2749.0415814852204
2021-03-30,95242.56890319916,2126.653438109559,2455.9658917745833
2021-03-31,95111.83160954106,2325.228598116478,2392.9658917745833
2021-04-01,94971.09431588296,2252.228598116478,2705.443391774583
2021-04-02,94545.31535555818,2337.8744314498117,1974.0819632031541
2021-04-03,94693.5363952334,2122.3030028783833,1067.3319632031541
2021-04-04,95292.75743490862,1666.553002878383,954.3319632031541
2021-04-05,95914.97847458388,1576.553002878383,2632.081963203155
2021-04-06,95645.44951425909,2362.5530028783833,2691.081963203155
2021-04-07,95335.92055393432,2376.8471205254423,2664.1930743142657
2021-04-08,95157.61381583179,2485.8863362117163,2610.3597409809317
2021-04-09,95030.47374439589,2484.053002878383,2391.764502885694
2021-04-10,95152.00033962668,2513.291098116478,1134.2645028856937
2021-04-11,95620.52693485747,1602.7910981164785,1017.1216457428367
2021-04-12,96216.4821015168,1613.0768124021927,2708.621645742837
2021-04-13,95658.2706015095,2150.410145735526,2560.621645742837
2021-04-14,95501.05910150218,2400.743479068859,2424.621645742837
2021-04-15,95361.30593482821,2284.8684790688594,2524.621645742837
2021-04-16,95160.55276815424,2323.8684790688594,2375.2448395052675
2021-04-17,94811.65362404395,2372.5746673575754,1017.2238114678837
2021-04-18,95446.62947993362,1653.0746673575757,1033.2416686107408
2021-04-19,95955.17676439474,1541.7889530718614,2726.6693415667164
2021-04-20,95489.72404885586,2266.1222864051947,2393.1321448012177
2021-04-21,95409.25419045983,2312.6622864051947,2444.703573372646
2021-04-22,95352.92718920669,2389.233714976623,2540.860716229789
2021-04-23,94976.47518795352,2164.4087149766233,2174.194049563122
2021-04-24,95165.689853367,2363.408714976623,1184.1940495631218
2021-04-25,95582.90451878053,1599.6587149766233,1048.781294461081
2021-04-26,95984.64214337768,1457.8678986500927,2791.6540835767278
2021-04-27,95421.42738702249,2226.6601605548544,2596.569361354505
2021-04-28,95323.46263066729,2496.03317642787,2685.9886392112244
2021-04-29,94906.45904193702,2271.972284523516,2450.103809930003
2021-04-30,94803.2216516116,2361.2482995592986,2530.6337124835727
2021-05-01,94784.67635168167,2514.5799379773775,1001.1252379073011
2021-05-02,95494.13105175177,1710.5799379773778,991.1252379073011
2021-05-03,96102.58575182184,1599.5799379773778,2911.601428383492
2021-05-04,95498.27061062207,2305.7862871837274,2503.7552745373378
2021-05-05,95355.95546942229,2362.786287183727,2492.6540599624395
2021-05-06,95305.45611769622,2442.154708236358,2541.209615517995
2021-05-07,95196.95676597016,2432.710263791914,2288.2096155179943
2021-05-08,95448.95741424407,2540.210263791914,1078.0096155179945
